Name,kind,Address,Zip,latitude,longitude,Phone,daterange,Days,BreakfastTime,LunchTime
Adlai E. Stevenson Elementary School,Hot Meal,18300 Woda Avenue,44122,41.4549927,-81.5507673,(216) 482-2950,6/8/15 - 7/3/15,M-F,9:00 AM - 9:30 AM,12:00 PM - 1:00 PM
ALLIANCE FOR FAMILY HOPE,Hot Meal,5050 STANLEY,44137,41.4217339,-81.5715408,(216) 581-2084,6/22/15 - 7/25/15,M-F,8:30 AM - 9:30 AM,11:00 AM - 12:00 PM
Applewood Centers,Hot Meal,10427 Detroit Ave,44102,41.480217,-81.7597427,(440)554-1187,6/8/15 - 8/21/15,M-F,9:00am - 10:30 AM,12:30 PM - 2:00 PM
Bellefaire JCB,Hot Meal,22001 Fairmount Blvd,44118,41.4868088,-81.5245285,(216)320-8369,6/8/15 - 8/21/15,M-F,9:00am - 10:00am,12:00 PM - 1:00 PM
BGC - Cleveland Heights,Hot Meal,2065 Lee road,44118,41.5033966,-81.5653981,(216)321-2582,6/8/15 - 8/14/15,M-R,None,12:00 PM - 5:00 PM
BGC - Michael R. White STEM School,Hot Meal,1000 E. 92nd Street,44124,41.5294418,-81.6243515,(216) 496-1769,6/8/15 - 7/31/15,M-F,10:00 AM - 11:00 AM,1:00 AM - 2:00 AM
BGC - Mt. Pleasant,Hot Meal,3689 E. 131st st,44120,41.4585533,-81.5906143,(216)752-2450,6/8/15 - 8/8/15,M-S,None,3:00 PM - 4:00 PM
BGC - Broadway,Hot Meal,6114 Broadway,44127,41.4641686,-81.6478318,(216)883-4663,5/26/15 - 8/21/15,M-S,None,2:30 PM - 3:30 PM (3:00-4:00pm on Saturday)
BGC - East Cleveland/MLK,Hot Meal,14801 Shaw Ave,44112,41.5401077,-81.5776367,(216)681-2812,6/8/15 - 8/31/15,M-F,None,1:00 PM - 1:30 PM
BGC - FDR,Hot Meal,800 Linn Dr,44108,41.5357567,-81.6099932,(216)470-3530,6/8/15 - 8/31/15,M-F,None,2:30 PM - 3:30 PM
BGC -Walton School,Hot Meal,3409 Walton Ave,44113,41.4706383,-81.7070007,(216) 774-9676,6/1/15 - 8/7/15,M-F,None,2:00 PM - 3:00 PM
BGC -Westside,Hot Meal,3340 Trowbridge ave,44109,41.4617861,-81.7058419,(216)459-2697,6/8/15 - 8/14/15,M-F,None,1:00 PM - 3:00 PM
BGC-Charles Eliot ,Hot Meal,15700 LOTUS DR.,44128,41.4456406,-81.5717621,216-299-6285,6/2/15 - 8/14/15,M-F,None,12:00pm - 12:45PM
Chagrin Falls Park Community Center,Hot Meal,7060 Woodland,44023,41.414505,-81.388771,(440)247-6030,6/22/15 - 8/7/15,M-F,9:00 AM - 10:00 AM,12:00 PM - 1:00 PM
Childrens Cupboard,Hot Meal,176 Hedges Street,44903,40.7533684,-82.5100339,(419) 512-0485,6/22/15 - 7/16/15,M-R,None,12noon - 1:00pm
Church of the Ascension,Hot Meal,13216 Detroit Ave.,44107,41.4848149,-81.7813683,(216)521-8727,6/15/15 - 8/17/15,M-F,None,11:30 AM - 1:00 AM
Cleveland Central Catholic,Hot Meal,6550 Baxter Ave,44105,41.4593963,-81.644292,(216)441-4700,6/15/15 - 8/14/15,M-R,None,1:15 PM - 3:00pm
CMSD -Robinson G. Jones,Hot Meal,4550 W. 150th Street,44135,41.4290848,-81.8030167,(216)920-7143,6/1/15 - 7/23/15,"M,W,R",9:00am - 9:30am,11:30 AM - 12:00 PM
CPL -  E. 131 STREET BRANCH,Hot Meal,3830 EAST 131 STREET,44120,41.4545602,-81.5912224,(216)623-6941,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
"CPL - MARTIN L. KING, JR. BRANCH",Hot Meal,1962 STOKES BLVD.,44106,41.5045662,-81.6138153,(216) 623-7018,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Brooklyn Branch,Hot Meal,3706 Pearl Road,44109,41.4539098,-81.7014404,(216)623-6920,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Carnegie West,Hot Meal,1900 Fulton Road,44113,41.4830654,-81.7105211,(216)623-6927,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - COLLINWOOD BRANCH,Hot Meal,856 EAST 152 STREET,44110,41.5559692,-81.5759964,(216)623-6934,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - EASTMAN BRANCH,Hot Meal,11602 LORAIN AVENUE,44111,41.4630508,-81.7685165,(216)623-6955,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
