Site,Address,Zip,latitude,longitude,Phone,Program Start/End Date,Service Days ,Breakfast Time,Lunch Time
Adlai E. Stevenson Elementary School,18300 Woda Avenue,44122,41.4549927,-81.5507673,,6/8/15 - 7/3/15,M-F,9:00 AM - 9:30 AM,12:00 PM - 1:00 PM
ALLIANCE FOR FAMILY HOPE,5050 STANLEY,44137,41.4217339,-81.5715408,,6/22/15 - 7/25/15,M-F,8:30 AM - 9:30 AM,11:00 AM - 12:00 PM
Applewood Centers,10427 Detroit Ave,44102,41.480217,-81.7597427,,6/8/15 - 8/21/15,M-F,9:00am - 10:30 AM,12:30 PM - 2:00 PM
Bellefaire JCB,22001 Fairmount Blvd,44118,41.4868088,-81.5245285,,6/8/15 - 8/21/15,M-F,9:00am - 10:00am,12:00 PM - 1:00 PM
BGC - Cleveland Heights,2065 Lee road,44118,41.5033966,-81.5653981,,6/8/15 - 8/14/15,M-R,None,12:00 PM - 5:00 PM
BGC - Michael R. White STEM School,1000 E. 92nd Street,44124,41.5294418,-81.6243515,,6/8/15 - 7/31/15,M-F,10:00 AM - 11:00 AM,1:00 AM - 2:00 AM
BGC - Mt. Pleasant,3689 E. 131st st,44120,41.4585533,-81.5906143,,6/8/15 - 8/8/15,M-S,None,3:00 PM - 4:00 PM
BGC - Broadway,6114 Broadway,44127,41.4641686,-81.6478318,,5/26/15 - 8/21/15,M-S,None,2:30 PM - 3:30 PM (3:00-4:00pm on Saturday)
BGC - East Cleveland/MLK,14801 Shaw Ave,44112,41.5401077,-81.5776367,,6/8/15 - 8/31/15,M-F,None,1:00 PM - 1:30 PM
BGC - FDR,800 Linn Dr,44108,41.5357567,-81.6099932,,6/8/15 - 8/31/15,M-F,None,2:30 PM - 3:30 PM
BGC -Walton School,3409 Walton Ave,44113,41.4706383,-81.7070007,,6/1/15 - 8/7/15,M-F,None,2:00 PM - 3:00 PM
BGC -Westside,3340 Trowbridge ave,44109,41.4617861,-81.7058419,,6/8/15 - 8/14/15,M-F,None,1:00 PM - 3:00 PM
BGC-Charles Eliot ,15700 LOTUS DR.,44128,41.4456406,-81.5717621,,6/2/15 - 8/14/15,M-F,None,12:00pm - 12:45PM
Chagrin Falls Park Community Center,7060 Woodland,44023,41.414505,-81.388771,,6/22/15 - 8/7/15,M-F,9:00 AM - 10:00 AM,12:00 PM - 1:00 PM
Childrens Cupboard,176 Hedges Street,44903,40.7533684,-82.5100339,,6/22/15 - 7/16/15,M-R,None,12noon - 1:00pm
Church of the Ascension,13216 Detroit Ave.,44107,41.4848149,-81.7813683,,6/15/15 - 8/17/15,M-F,None,11:30 AM - 1:00 AM
Cleveland Central Catholic,6550 Baxter Ave,44105,41.4593963,-81.644292,,6/15/15 - 8/14/15,M-R,None,1:15 PM - 3:00pm
CMSD -Robinson G. Jones,4550 W. 150th Street,44135,41.4290848,-81.8030167,,6/1/15 - 7/23/15,"M,W,R",9:00am - 9:30am,11:30 AM - 12:00 PM
CPL -  E. 131 STREET BRANCH,3830 EAST 131 STREET,44120,41.4545602,-81.5912224,,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
"CPL - MARTIN L. KING, JR. BRANCH",1962 STOKES BLVD.,44106,41.5045662,-81.6138153,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Brooklyn Branch,3706 Pearl Road,44109,41.4539098,-81.7014404,,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Carnegie West,1900 Fulton Road,44113,41.4830654,-81.7105211,,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - COLLINWOOD BRANCH,856 EAST 152 STREET,44110,41.5559692,-81.5759964,,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - EASTMAN BRANCH,11602 LORAIN AVENUE,44111,41.4630508,-81.7685165,,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Fleet,7224 Broadway Ave,44105,41.4573555,-81.6382675,,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - GARDEN VALLEY BRANCH,7201 KINSMAN AVENUE,44104,41.4718208,-81.6221237,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - GLENVILLE BRANCH,11900 ST. CLAIR AVENUE,44108,41.541069,-81.602256,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - HOUGH BRANCH,1566 CRAWFORD ROAD,44106,41.5143814,-81.6229858,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - JEFFERSON BRANCH,850 JEFFERSON AVENUE,44113,41.4792557,-81.6855545,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - LANGSTON HUGHES BRANCH,10200 SUPERIOR AVENUE,44106,41.5214807,-81.6171648,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - MT. PLEASANT BRANCH,14000 KINSMAN ROAD,44120,41.464035,-81.5844574,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - RICE BRANCH,11353 SHAKER BLVD.,44120,41.484314,-81.6060229,,6/9/15 - 7/31/15,M-R,None,11:30 AM - 12:30 PM
CPL - ROCKPORT BRANCH,4421 WEST 140TH STREET,44135,41.4341345,-81.7906225,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - SOUTH BROOKLYN BRANCH,4303 PEARL ROAD,44109,41.4386702,-81.7071173,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - STERLING BRANCH,2200 E. 30TH STREET,44115,41.4975624,-81.6667786,,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - UNION BRANCH,3465 EAST 93RD STREET,44104,41.4643543,-81.6214053,,6/9/15 - 7/31/15,M-S,None,11:30 AM - 12:30 PM
